text_id,en,da,nl,sv,no,el,it,de,es,fr,et,ja
details_phs_desc_1,"Given your metabolic rate, clothing and thermal environment your body core temperature is expected to exceed 38&#xb0;C in","Givet din aktivitet, det tøj du har på og de omgivelser du befinder dig i, vil din krops kernetemperatur overstige 38&#xb0;C om","Gezien uw metabolisme, kleding en thermische omgeving wordt er verwacht dat uw kerntemperatuur hoger zal zijn dan 38&#xb0;C in","Baserat på din metabolism, kläder och termiska miljö så förväntas din djupkroppstemperatur att stiga över 38&#xb0;C om","Med stoffskiftet, klærne og det termiske miljøet ditt forventes kroppstemperaturen din å overstige 38#xb0;C om","Δεδομένου του ρυθμού μεταβολισμού, του επιπέδου ένδυσης και του θερμικού περιβάλλοντος, η θερμοκρασία του πυρήνα του σώματος σας αναμένεται να ξεπεράσει τους 38&#xb0;C σε","Dato il tuo tasso metabolico, il tuo abbigliamento e l’ambiente termico, la tua temperatura corporea interna dovrebbe superare i 38&#xb0;C","Von Ihren Stoffwechsel, Kleider und thermischen Umgebung wird es erwartet, dass Ihre Körpertemperatur eine Temperatur von 38&#xb0;C innerhalb von","Dada tu tasa metabólica, vestimenta y ambiente térmico, se espera que la temperatura central de tu cuerpo supere 38&#xb0; en C","Etant donnés votre métabolisme, vêtements et environnement thermique, il est prévu que votre température corporelle dépasse 38&#xb0;C dans","Given your metabolic rate, clothing and thermal environment your body core temperature is expected to exceed 38&#xb0;C in","Given your metabolic rate, clothing and thermal environment your body core temperature is expected to exceed 38&#xb0;C in"
details_phs_desc_2,minutes. Your sweat rate is approximately,minutter. Din svedrate er ca.,minuten. De hoeveelheid zweet die u verliest is ongeveer,minuter. Din vätskeförlust är ca.,minutter. Svettehastigheten din er omtrent,λεπτά. Ο βαθμός που ιδρώνετε είναι περίπου,minuti. Il tuo tasso di sudorazione è approssimativamente,Minuten zu überschreiten. Ihre Schweißgeschwindigkeit ist ungfähr,minutos. Tu tasa de sudoración es aproximadamente,minutes. Votre taux de transpiration est d'environ,minutes. Your sweat rate is approximately,minutes. Your sweat rate is approximately
details_phs_desc_3,litres per hour.,liter per time.,liter per uur,liter per timme.,liter per time.,λίτρα την ώρα.,litri all'ora,Liter per Stunde,litros por hora.,litre par heure.,litres per hour.,litres per hour.
details_windchill_desc_1,The Windchill index is,Windchill indekset er,De Windchill index is,Vindkyla-indexet är,Windchill indekset er,Το Windchill index είναι,L'indice di Windchill è,Der Windchill-Index ist,El índice Windchill es,L'index de refroidissement éolien est,The Windchill index is,The Windchill index is
details_windchill_desc_2,", which means that there is",", hvilket betyder at der er",Wat betekent dat er is,vilket betyder att det är,som betyr at det er det,το οποίο σημαίνει ότι είναι,che significa che è presente,"was bedeutet, dass es",lo que significa que hay,ce qui signifie qu'il y a,", which means that there is",", which means that there is"
details_ireq_desc,In cold weather it is important to:,I koldt vejr er det vigtigt at:,In de kou is het belangrijk om:,I kallt väder är det viktigt att:,I kaldt vær er det viktig å:,Σε κρύο καιρό είναι σημαντικό να:,Quando il clima è freddo è importante:,In kaltes Wetter ist es wichtig zu:,En climas frios es importante:,Par temps froid il est important de :,In cold weather it is important to:,In cold weather it is important to:
details_ireq_desc_list1,"keep your clothes dry - wet clothing cools you down faster,","holde dit tøj tørt, vådt tøj nedkøler dig hurtigere,","Houdt uw kleding droog, natte kleding koelt u sneller af,","håll dina kläder torra, blöta kläder kyler ner dig snabbare,","hold klærne tørre, våte klær kjøler deg raskere ned,","κρατήστε τα ρούχα σας στεγνά, τα βρεγμένα ρούχα σας κρυώνουν γρηγορότερα","mantenere i vestiti asciutti, i vestiti bagnati abbassano più velocemente la tua temperatura,","Kleider trocken halten, nasse Kleider kühlen Sie schneller ab,","manten tu vestimenta seca, la ropa mojada te enfria más rápido","garder vos vêtements secs, des vêtements mouillés vous refroidissent plus rapidement,","keep your clothes dry - wet clothing cools you down faster,","keep your clothes dry - wet clothing cools you down faster,"
details_ireq_desc_list2,wear sufficient clothing,sørg for ikke at tage for lidt tøj på,"De niet te weinig kleding aan,","klä dig tillräckligt,",huske å ha på nokk klær,μη φοράτε λιγότερα ρούχα,"non vestirsi troppo poco,",tragen Sie genügend Klamotten,no te vistas con poca ropa,"porter suffisamment de vêtements,",wear sufficient clothing,wear sufficient clothing
details_ireq_desc_list3,not wear too much - sweating can make your clothes wet.,"sørg for ikke at tage for meget tøj på, når du sveder bliver dit tøj vådt.","Doe niet teveel kleding aan, zweten kan uw kleding nat maken.","klä dig inte för varmt, svett fuktar dina kläder inifrån.","ikke ha på for mye klær, svette kan gjøre klærne våte.","μη φοράτε περισσότερα ρούχα, τα ροούχα σας θα βραχούν καθώς ιδρώνετε","non vestirsi troppo, la sudorazione rende i vestiti bagnati.","tragen Sie nicht zu viele Kleider, Schweiß macht die Kleider nass.","no te vistas con demasiada ropa, la sudoración puede mojar la ropa que llevas puesta","ne pas porter trop de vêtements, trasnpirer peut mouiller vos vêtements.",not wear too much - sweating can make your clothes wet.,not wear too much - sweating can make your clothes wet.
details_ireq_clo_1,For your,Med dit,Voor uw,För din,For din,Για σας,Per il tuo,Für Ihre,Para tu,Pour votre,For your,For your
details_ireq_clo_2,"activity level, you should aim to keep the clothing level between",aktivitetsniveau anbefales det at du har tøj på mellem,"Inspanningsniveau, u zou uw kleding moeten houden tussen",aktivitetsnivå så bör du ha en klädesnivå mellan,"aktivitetsnivå, bør du prøve å holde klesnivået mellom","η ένταση της δραστηριότητας, πρέπει να στοχεύσετε να κρατήσετε το επιπεδο του ρουχισμού μεταξύ","livello di attività, dovresti cercare di mantenere il livello di vestiario tra","Aktivitätsebene sollten Sie versuchen, die Kleidungsebene zwischen","nivel de actividad, deberías mantener tu nivel de vestimenta entre","niveau d'activité, vous devriez garder votre niveau de protection vestimentaire entre","activity level, you should aim to keep the clothing level between","activity level, you should aim to keep the clothing level between"
details_ireq_clo_3,clo and,clo og,clo en,clo och,clo og,και,clo e,clo und,clo y,clo et,clo and,clo and
details_ireq_clo_dle_1,Based on your current clothing level the heat loss limit is reached in,Based on your current clothing level the heat loss limit is reached in,Based on your current clothing level the heat loss limit is reached in,Baserat på din nuvarande klädesnivå kommer gränsen för värmeförlust nås om,Based on your current clothing level the heat loss limit is reached in,Based on your current clothing level the heat loss limit is reached in,Based on your current clothing level the heat loss limit is reached in,Based on your current clothing level the heat loss limit is reached in,Based on your current clothing level the heat loss limit is reached in,Based on your current clothing level the heat loss limit is reached in,Based on your current clothing level the heat loss limit is reached in,Based on your current clothing level the heat loss limit is reached in
details_ireq_clo_dle_2,minutes,minutter,minuten,minuter,minutter,λεπτά,minuti,Minuten,minutos,minutes,minutes,minutes
details_neutral,"Based on your activity level, you are unlikely to experience heat stress or cold strain.","Baseret på dit aktivitetsniveau er der ingen indikation af varme- eller kuldestress, når du har tøj der minder om afslappet kontortøj på.",Er is geen indicatie voor hitte of koude stress gebaseerd op uw inspanningsniveau en kleding.,Baserat på din aktivitetsnivå så finns det inga indikationer för värme- eller kylstress ifall du har kontorskläder.,Basert på aktivitetsnivået ditt er det ingen indikasjoner på varme eller kulde stress når du er kledd i casual office-klær.,Με βάση το επίπεδο της δραστηριότητας δεν υπάρχει ένδειξη για θερμική ή ψυχρή καταπόνηση όταν είστε ντυμένος/η με την συνηθισμένη ένδυση για το γραφείο,"Basandosi sul tuo livello di attività e vestiario, non sono presenti indicazioni riguardo agli stress da caldo o da freddo","Basiert auf Ihre Aktivitätsebene gibt es keine Indikationen auf Hitze- oder Kältebelastung, wenn Sie lässige Bürokleidung tragen.","Según tu nivel de actividad y vestimenta, no hay se presenta una indicación de estrés por calor o frío.","Etant donné votre niveau d'activité, il n'y a pas d'indication de stress hyper ou hypothermique quand vous portez une tenue de travail décontractée.","Based on your activity level, you are unlikely to experience heat or cold strain when you are dressed in business wear.","Based on your activity level, you are unlikely to experience heat or cold strain when you are dressed in business wear."
intro_nav_1,"To familiarise you with ClimApp, we will introduce the different elements on the dashboard","For at gøre dig bedre kendt med ClimApp, introduceres de forskellige elementer på dit dashboard",Om u bekend te maken met de app zullen we u introduceren met de verschillende elementen van het dashboard,För att göra dig bekant med appen så kommer vi introducera olika funktioner på dashboarden,"For å gjøre deg kjent med appen, presenterer vi de forskjellige elementene på dashbordet","Για να εξοικειωθείτε με την εφαρμογή, θα σας εισάγουμε στα διαφορετικά στοιχεία του πίνακα","Per famigliarizzare con la app, 
 ti introdurremo i diversi elementi sulla dashboard","Üm Sie mit der App bekannt zu machen, präsentieren wir die verschiedene Elementen auf dem Dashboard","Para familiarizarte con la aplicación, presentaremos los diferentes elementos en el tablero","Pour vous familiariser avec l'app, nous allons vous présenter les différents éléments sur le tableau de bord","To familiarise you with ClimApp, we will introduce the different elements on the dashboard","To familiarise you with ClimApp, we will introduce the different elements on the dashboard"
intro_nav_2,From the navigation bar below you can switch between the different screens of ClimApp,på navigationspanelet nedenunder kan man skifte mellem de forskellige sider i appen,Met de navigatiebalk onderaan kunt u wisselen tussen de verschillende schermen van de app,Från navigationsfältet under så kan du byta mellan de olika skärmarna i appen,Fra navigasjonsfeltet nedenfor kan du veksle mellom de forskjellige skjermene til appen,Από την μπάρα πλοήγησης παρακάτωμπορείτε να μεταβείτε στις διαφορετικές οθόνες της εφαρμογής,"Dalla barra di navigazione qua sotto, puoi navigare tra le differenti
 schermate della app",Vom Navigationsfeld hierunten können Sie zwischen die verschiedenen Schirmen der App wechseln,"Desde la barra de navegación abajo, puedes cambiar entre las diferentes pantallas de la aplicación",A partir de la barre de navigation ci-dessous vous pouvez basculer entre les différents écrans de l'app,From the navigation bar below you can switch between the different screens of ClimApp,From the navigation bar below you can switch between the different screens of ClimApp
intro_gauge,"The forecast panel projects the expected level of heat or cold stress on a scale from -4 to 4. You can switch between the ClimApp index (which can be personalised) and the Universal Thermal Climate Index (UTCI, which cannot be personalised)","The forecast panel projects the expected level of heat or cold stress on a scale from -4 to 4. You can switch between the ClimApp index (which can be personalised) and the Universal Thermal Climate Index (UTCI, which cannot be personalised)","The forecast panel projects the expected level of heat or cold stress on a scale from -4 to 4. You can switch between the ClimApp index (which can be personalised) and the Universal Thermal Climate Index (UTCI, which cannot be personalised)","The forecast panel projects the expected level of heat or cold stress on a scale from -4 to 4. You can switch between the ClimApp index (which can be personalised) and the Universal Thermal Climate Index (UTCI, which cannot be personalised)","The forecast panel projects the expected level of heat or cold stress on a scale from -4 to 4. You can switch between the ClimApp index (which can be personalised) and the Universal Thermal Climate Index (UTCI, which cannot be personalised)","The forecast panel projects the expected level of heat or cold stress on a scale from -4 to 4. You can switch between the ClimApp index (which can be personalised) and the Universal Thermal Climate Index (UTCI, which cannot be personalised)","The forecast panel projects the expected level of heat or cold stress on a scale from -4 to 4. You can switch between the ClimApp index (which can be personalised) and the Universal Thermal Climate Index (UTCI, which cannot be personalised)","The forecast panel projects the expected level of heat or cold stress on a scale from -4 to 4. You can switch between the ClimApp index (which can be personalised) and the Universal Thermal Climate Index (UTCI, which cannot be personalised)","The forecast panel projects the expected level of heat or cold stress on a scale from -4 to 4. You can switch between the ClimApp index (which can be personalised) and the Universal Thermal Climate Index (UTCI, which cannot be personalised)","The forecast panel projects the expected level of heat or cold stress on a scale from -4 to 4. You can switch between the ClimApp index (which can be personalised) and the Universal Thermal Climate Index (UTCI, which cannot be personalised)","The forecast panel projects the expected level of heat or cold stress on a scale from -4 to 4. You can switch between the ClimApp index (which can be personalised) and the Universal Thermal Climate Index (UTCI, which cannot be personalised)","The forecast panel projects the expected level of heat or cold stress on a scale from -4 to 4. You can switch between the ClimApp index (which can be personalised) and the Universal Thermal Climate Index (UTCI, which cannot be personalised)"
intro_range,This area provides basic information about the current weather.,Dette område giver generel information om det aktuelle vejr.,Dit deel geeft basis informatie over het huidige weer.,Detta område ger generell information om det rådande vädret.,Dette området gir grunnleggende informasjon om det nåværende været.,Αυτή η περιοχή παρέχει βασικές πληροφορίες για τον τωρινό καιρό,"Questa area fornisce informazioni di base riguardo al meteo
 corrente",Dieser Bereich gibt grundlegende Information über das jetzige Wetter.,Esta área proporciona información básica sobre el clima actual.,Cette zone fournit des informations de base sur la météo actuelle.,This area provides basic information about the current weather.,This area provides basic information about the current weather.
intro_climapp_index,The ClimApp index presents an estimation on how to cope with the thermal environment. The panels below provide more information and allow you to change your personal settings.,The ClimApp index provides an estimation on how to cope with the thermal environment. The panels below provide more context and allow you to change your personal settings.,The ClimApp index provides an estimation on how to cope with the thermal environment. The panels below provide more context and allow you to change your personal settings.,The ClimApp index provides an estimation on how to cope with the thermal environment. The panels below provide more context and allow you to change your personal settings.,The ClimApp index provides an estimation on how to cope with the thermal environment. The panels below provide more context and allow you to change your personal settings.,The ClimApp index provides an estimation on how to cope with the thermal environment. The panels below provide more context and allow you to change your personal settings.,The ClimApp index provides an estimation on how to cope with the thermal environment. The panels below provide more context and allow you to change your personal settings.,The ClimApp index provides an estimation on how to cope with the thermal environment. The panels below provide more context and allow you to change your personal settings.,The ClimApp index provides an estimation on how to cope with the thermal environment. The panels below provide more context and allow you to change your personal settings.,The ClimApp index provides an estimation on how to cope with the thermal environment. The panels below provide more context and allow you to change your personal settings.,The ClimApp index provides an estimation on how to cope with the thermal environment. The panels below provide more context and allow you to change your personal settings.,The ClimApp index provides an estimation on how to cope with the thermal environment. The panels below provide more context and allow you to change your personal settings.
intro_details_1,Weather report details are presented here.,Tryk på <i>mere info</i> for at læse mere.,Klik op <i>more info</i> om te leren hoe om te gaan met de huidige omstandigheden en gedetaileerde informatie te krijgen,Tryck på <i>mer information</i> för att lära dig mer om hur du kan hantera omgivningen och få mer detaljrik information,Trykk på <i>mer informasjon</i> for å lese mer.,Επιλέξτε <i>περισσότερες πληροφορίες</i> για να διαβάσετε περισσότερα.,Clicca <i>ulteriori informazioni</i> per apprendere come reagire alle condizioni e ricevere informazioni dettagliate,Drücken Sie auf <i>mehrere Information</i> um mehr zu erfahren.,Presiona <i>more info</i> para aprender cómo lidiar con las condiciones y obtener información detallada.,Appuyer sur <i>plus d'infos</i> pour en savoir plus.,Press <i>more info</i> to learn how to cope with the conditions and get detailed information,Press <i>more info</i> to learn how to cope with the conditions and get detailed information
intro_wheels_1,"Here you can input your estimated activity level, clothing level, body characteristics and thermal perception. These settings allow ClimApp to better adapt to your personal situation.","Here you can input your estimated activity level, clothing level, body characteristics and thermal perception. These settings allow ClimApp to better adapt to your personal situation.","Here you can input your estimated activity level, clothing level, body characteristics and thermal perception. These settings allow ClimApp to better adapt to your personal situation.","Here you can input your estimated activity level, clothing level, body characteristics and thermal perception. These settings allow ClimApp to better adapt to your personal situation.","Here you can input your estimated activity level, clothing level, body characteristics and thermal perception. These settings allow ClimApp to better adapt to your personal situation.","Here you can input your estimated activity level, clothing level, body characteristics and thermal perception. These settings allow ClimApp to better adapt to your personal situation.","Here you can input your estimated activity level, clothing level, body characteristics and thermal perception. These settings allow ClimApp to better adapt to your personal situation.","Here you can input your estimated activity level, clothing level, body characteristics and thermal perception. These settings allow ClimApp to better adapt to your personal situation.","Here you can input your estimated activity level, clothing level, body characteristics and thermal perception. These settings allow ClimApp to better adapt to your personal situation.","Here you can input your estimated activity level, clothing level, body characteristics and thermal perception. These settings allow ClimApp to better adapt to your personal situation.","Here you can input your estimated activity level, clothing level, body characteristics and thermal perception. These settings allow ClimApp to better adapt to your personal situation.","Here you can input your estimated activity level, clothing level, body characteristics and thermal perception. These settings allow ClimApp to better adapt to your personal situation."
intro_wheels_2,You switch between the different categories by clicking on the headers.,You switch between the different categories by clicking on the headers.,You switch between the different categories by clicking on the headers.,You switch between the different categories by clicking on the headers.,You switch between the different categories by clicking on the headers.,You switch between the different categories by clicking on the headers.,You switch between the different categories by clicking on the headers.,You switch between the different categories by clicking on the headers.,You switch between the different categories by clicking on the headers.,You switch between the different categories by clicking on the headers.,You switch between the different categories by clicking on the headers.,You switch between the different categories by clicking on the headers.
dash_tip_green,The green level means that low thermal stress is forecast.,"Når din score ligger i det grønne område indikerer det, at det forventede termiske stress er lavt.",Het groene level betekent dat lage thermische stress is voorspelt.,Den gröna nivån innebär att låg termisk stress förväntas.,Det grønne nivået betyr at lav termisk belastning er forventet.,Το μπλε επίπεδο σημαίνει ότι προβλέπεται χαμηλή θερμική καταπόνηση,Il livello verde significa significa che è previsto un basso stress termico.,"Die grüne Ebene bedeutet, dass niedrige thermische Strahlung erwartet wird.",El nivel verde significa que se pronostica un bajo estrés térmico.,Le niveau vert signifie qu'un faible stress thermique est prévu.,The green level means that low thermal stress is forecast.,The green level means that low thermal stress is forecast.
dash_tip_cyan,The cyan level means that moderate cold stress is expected.,"Når din score ligger i det cyan-blå område, er moderat kuldestress forventet.",Het cyaan level betekent dat gemiddelde koude stress is voorspeld.,Den ljusblå nivån innebär att måttlig kylstress förväntas.,Cyannivået betyr at det forventes moderat kuldestress.,Το κυανό επίπεδο σημαίνει ότι αναμένεται μέση θερμική καταπόνηση.,"Il livello turchese significa
 che ci si aspetta un moderato stress termico da freddo.","Das cyan Niveau bedeutet, dass moderate Kältebelastung erwartet wird.",El nivel de cian significa que se espera un estrés por frío moderado.,Le niveau cyan signifie qu'un stress hypothermique modéré est prévu.,The cyan level means that moderate cold stress is expected.,The cyan level means that moderate cold stress is expected.
dash_tip_blue,The blue level means that high cold stress is expected.,"Når din score ligger i det blå område, betyder det, at der er høj risiko for kuldestress.",Het blauwe level betekent dat hoge koude stress is voorspeld,Den blå nivån innebär att hög kylstress förväntas.,Det blå nivået betyr at det forventes høyt kuldestress.,Το μπλε επίπεδο σημαίνει ότι αναμένεται υψηλή θερμική καταπόνηση.,"Il livello blu significa che ci si aspetta un elevato
 stress termico da freddo.","Das blaue Niveau bedeutet, dass hohe Kältebelastung erwartet wird.",El nivel azul significa que se espera un alto estrés por frío.,Le niveau bleu signifie qu'un stress hypothermique élevé est prévu.,The blue level means that high cold stress is expected.,The blue level means that high cold stress is expected.
dash_tip_windchill_1,Due to the windchill,På grund af windchill,Door de windchill,På grund av vindkyla,På grunn av windchill,Λόγω του κρύου αέρα,Dovuto al windchill,Wegen des Windchills,Debido al windchill,A cause de la température ressentie,Due to the windchill,Due to the windchill
dash_tip_windchill_2,there is a risk for exposed skin to freeze in,er der stor risiko for at udsat hud vil blive kritisk afkølet om,Er is een risico voor blote huid om te bevriezen in,finns det en risk att oskyddad hud fryser på,er det en stor risiko for at utsatt hud vil fryse om,υπάρχει κίνδυνος για το εκτεθιμένο δέρμα να παγώσει σε,"esiste il rischio di congelamento
  della pelle esposta","gibt es eine große Risiko dafür, dass exponierte Haut in",existe el riesgo de que la piel expuesta se congele en,il y a un risque pour la peau exposée de geler dans,there is a risk for exposed skin to freeze in,there is a risk for exposed skin to freeze in
dash_tip_windchill_3,minutes,minutter,minuten,minuter,minutter,λεπτά,minuti,Minuten frieren wird,minutos,minutes,minutes,minutes
dash_tip_severe_cold,This level is associated with severe cold stress.,Dette niveau er forbundet med alvorlig kuldestress.,Dit level is geassocieerd met ernstige koude stress.,Denna nivån är associerad med allvarlig kylstress.,Dette nivået er assosiert med alvorlig kuldestress.,Αυτό το επίπεδο σχετίζεται με σφορδή ψυχρή καταπόνηση,"Questo livello è associato
 ad un grave stress termico da freddo",Dieses Niveau wird mit ernsthafter Kältebelastung assoziiert.,Este nivel está asociado con el estrés por frío severo.,Ce niveau est associé à un stress hypothermique sévère.,This level is associated with severe cold stress.,This level is associated with severe cold stress.
dash_tip_general_1,The personalised thermal stress indicator depends on the weather report as well as your personal input,The personalised thermal stress indicator depends on the weather report as well as your personal input,The personalised thermal stress indicator depends on the weather report as well as your personal input,Den personliga indikatorn för termisk stress beror både på väderleksrapporten och din egna aktivitet och kläder.,The personalised thermal stress indicator depends on the weather report as well as your personal input,The personalised thermal stress indicator depends on the weather report as well as your personal input,The personalised thermal stress indicator depends on the weather report as well as your personal input,The personalised thermal stress indicator depends on the weather report as well as your personal input,The personalised thermal stress indicator depends on the weather report as well as your personal input,The personalised thermal stress indicator depends on the weather report as well as your personal input,The personalised thermal stress indicator depends on the weather report as well as your personal input,The personalised thermal stress indicator depends on the weather report as well as your personal input
dash_tip_general_2,"The score increases toward higher warning levels if the weather aggravates, your activity level decreases or your clothing level decreases","Scoren stiger mod højere advarselsniveauer, hvis vejret forværres, dit aktivitetsniveau falder eller du tager noget af dit tøj af","De ClimApp index stijgt met warmer weer, meer gedragen kleding of een zwaardere inspanning","Summan kommer att öka mot högre varningsnivåer ifall vädret förvärras, din aktivitetsnivå sänks eller din klädesnivå minskar.","Poengsummen vil øke mot høyere advarselsnivå hvis været forverres, aktivitetsnivået ditt synker eller mengden av klær du har på blir mindre","Το σκορ θα αυξηθεί προς υψηλότερα επίπεδα προειδοποίησης αν ο καιρός επιδεινωθεί, το επίπεδο της δραστηριότητας ελλατωθεί ή ο ρουχισμός σας μειωθεί","Il punteggio aumenterà verso livelli
 di avviso più elevati se il tempo peggiorerà, oppure se diminuirà la tua attività o il tuo vestiario","Wenn sich das Wetter verschlechtert, das Aktivitätsebene senkt oder Sie weniger Kleider tragen, wird die Punktzahl zu einem höheren Warnungsniveau steigen","La puntuación aumentará hacia niveles de advertencia más altos si el clima empeora, tu nivel de actividad disminuye o tu nivel de vestimenta disminuye","Le score augmentera vers des niveaux d'alerte plus élevés si la météo s'aggrave, si votre niveau d'activité diminue ou si votre niveau de protection vestimentaire diminue.","The score increases toward higher warning levels if the weather aggravates, your activity level decreases or your clothing level decreases","The score increases toward higher warning levels if the weather aggravates, your activity level decreases or your clothing level decreases"
dash_tip_general_3,No special precautions are required unless you are in a special settings (e.g. indoors) or have a restricted ability to maintain heat,"Ingen særlige forholdsregler, medmindre du arbejder / træner i specielle omgivelser (indendørs) eller med en begrænset evne til at opretholde varmen",Er zijn geen speciale voorzorgsmaatregelen nodig tenzij u werkt in een speciale omgeving (binnen) of met beperkte mogelijkheid om warmte vast te houden.,Inga speciella säkerhetsåtgärder behövs såvida du inte arbetar/tränar i en speciell miljö (inomhus) eller har begränsad möjlighet att bevara värme.,Ingen spesielle forholdsregler er nødvendig med mindre du jobber/trener i spesielle omgivelser (innendørs) eller med begrenset evne til å opprettholde varmen,Δεν απαιτούνται ειδικές προφυλάξεις εκτός αν εργάζεστε /ασκείστε σε ειδικές συνθήκες (εσωτερικές) ή με περιορισμένη δυνατότητα να διατηρείτε τη θερμότητα,"Non sono richieste precauzioni particolari a meno che non lavori o faccia movimento
 in ambienti particolari (interni) o con ridotta capacità di mantenere il calore","Keine besonderen Maßnahmen werden benötigt, es sei denn Sie in besonderen Umgebungen (Innen) oder mit begrenztem fähigkeit die Temperatur aufrechtzuerhalten arbeiten/trainieren",No se requieren precauciones especiales a menos que trabajes o hagas ejercicio en entornos especiales (interiores) o con capacidad restringida para mantener el calor,Aucune précaution particulière n'est requise sauf si vous travaillez/faites de l'exercice dans un environnement spécial (à l'intérieur) ou avec une capacité limitée de maintenir la chaleur,No special precautions are required unless you are in a special settings (e.g. indoors) or have a restricted ability to maintain heat,No special precautions are required unless you are in a special settings (e.g. indoors) or have a restricted ability to maintain heat
dash_tip_overdressed,"The weather is not very warm. However, you may be overdressed for the activity level you have chosen and heat strain may occur.","The weather is not very warm. However, you may be overdressed for the activity level you have chosen and heat strain may occur.","Het is niet erg warm. U heeft echter teveel kleding aan voor uw inspanning, waardoor u last kunt krijgen van de hitte.",Baserat på väderrapporten så är det inte särskilt varmt. Du kan dock vara överklädd för din aktivitetsnivå vilket kan leda till värmestress.,Basert på værrapporten er det ikke særlig varmt. Allikevel kan du ha på for mye klær ifht. aktivitetsnivået ditt. Derfor kan du bli utsatt for varmestress.,"The weather is not very warm. However, you may be overdressed for the activity level you have chosen and heat strain may occur.","Secondo i report meteorologici non fa molto caldo. Comunque, il tuo livello di vestiario potrebbe essere troppo elevato per il livello di attività che hai scelto e potrebbe verificarsi stress termico da caldo.","Nach der Wettervorhersage ist es nicht besonders warm. Jedoch sind Sie möglicherweise überkleidet für die gewählte Aktivitätsebene, und Sie können eine thermische Belastung erleben.","Según el informe meteorológico, no hace mucho calor. Sin embargo, puedes estar usando mucha ropa para el nivel de actividad que has elegido y puede producirse estrés por calor.","The weather is not very warm. However, you may be overdressed for the activity level you have chosen and heat strain may occur.","The weather is not very warm. However, you may be overdressed for the activity level you have chosen and heat strain may occur.","The weather is not very warm. However, you may be overdressed for the activity level you have chosen and heat strain may occur."
dash_tip_normal,You should be able to maintain normal activities - but appropriate/adjusted behaviour is required.,"Du burde være i stand til at opretholde normale aktiviteter, men justeret adfærd (påklædning/væskeindtagelse) kan være nødvendig",U zou normale activiteiten moeten kunnen voortzetten - maar passend/aangepast gedrag is noodzakelijk.,Du bör kunna upprätthålla normala aktiviteter men var uppmärksam och justera aktivitet och kläder vid behov.,Du burde kunne opprettholde normale aktiviteter - men det krever justert oppførsel,"Θα πρέπει να είστε ικανός να διατηρήσετε τις κανονικές δραστηριότητες, αλλά η σωστή/προσαρμόσμένη συμπεριφορά είναι απαραίτητη.","Dovresti essere in grado di continuare le tue 
 normali attività - però sono necessari comportamenti appropriati/adattati.","Sie sollten normale Aktivitäten aufrechterhalten können, aber es fordert ein justiertes Benehmen.","Deberías poder mantener tus actividades normales, pero se requiere un comportamiento apropiado/ajustado.",Vous devriez être capable de maintenir des activités normales - mais un comportement approprié est requis.,You should be able to maintain normal activities - but appropriate/adjusted behaviour is required.,You should be able to maintain normal activities - but appropriate/adjusted behaviour is required.
dash_tip_windchill_significant_1,There is significant windchill,Der er betydelig windchill (vindkølingsfaktor),Er is significante kou door de wind,Det är betydlig vindkyla.,Det er betydelig windchill,Υπάρχει σημαντικός κρύος αέρας,E' presente un significativo windchill,Es gibt ein signifikanter Windchill,Hay un windchill significativo,Il y a un refroidissement éolien significatif,There is significant windchill,There is significant windchill
dash_tip_windchill_significant_2,you should consider clothing with high wind stopping properties.,Overvej at vælge tøj der har høj evne til at bremse vind (tøj med wind-breaker egenskaber).,u zou kleding met lage winddoorlaatbaarheid kunnen overwegen te dragen,Du bör överväga vindtäta kläder.,bør du vurdere klær med høye vindstoppende egenskaper.,Πρέπει να σκεφτείτε ένδυση με σημαντικές αντιανεμικές ιδιότητες,"dovresti considerare l'uso di indumenti
 in grado di bloccare efficacemente il vento.",Sie sollten Kleider mit windstoppenden Eigenschaften überlegen.,Debes considerar el uso de una chaqueta cortavientos u otra ropa similar.,vous devriez envisager des vêtements avec des propriétés coupe-vent élevées.,you should consider clothing with high wind stopping properties.,you should consider clothing with high wind stopping properties.
dash_tip_increase_insulation,You should consider increasing insulation from clothing by adding layers or choosing warmer/thicker clothing.,"Du kan med fordel øge isolering fra dit tøj ved at tage flere lag på, eller vælge varmere/tykkere tøj.",U zou meer lagen aan kunnen doen of kiezen voor warmere/dikkere kleding.,Du bör överväga att öka din isolering från kläder genom att klä dig i fler lager eller varmare/tjockare kläder.,Du bør vurdere å øke isolasjonen fra klær ved å legge til lag eller velge varmere/tykkere klær.,Πρέπει να σκεφτείς να αυξήσεις την επένδυση των ρούχων με την προσθήκη στρώσεων ή επιλέγοντας πιο ζεστή/βαριά ένδυση,"Dovresti aumentare il livello di isolamento
 fornito dai tuoi vestiti, aggiungendo strati o scegliendo vestiti più caldi o più spessi.",Sie sollten es überlegen die Wärmedämmung der Kleider durch mehere Schichten oder dickere Kleider zu erhöhen.,Debe considerar aumentar el aislamiento de la ropa agregando capas o eligiendo ropa más cálida / gruesa.,Vous devriez envisager d'augmenter votre isolation vestimentaire en ajoutant des couches ou en choisissant des vêtements plus chauds/épais.,You should consider increasing insulation from clothing by adding layers or choosing warmer/thicker clothing.,You should consider increasing insulation from clothing by adding layers or choosing warmer/thicker clothing.
